"","x"
"1",NA
"2",0
"3",2
"4",6
"5",6
"6",10
"7",14
"8",18
"9",18
"10",22
"11",28
"12",38
"13",48
"14",56
"15",60
"16",64
"17",66
"18",68
"19",72
"20",74
"21",80
"22",86
"23",88
"24",94
"25",102
"26",108
"27",110
"28",116
"29",124
"30",132
"31",132
"32",136
"33",142
"34",150
"35",154
"36",162
"37",170
"38",174
"39",182
"40",188
"41",196
"42",206
"43",218
"44",228
"45",240
"46",246
"47",254
"48",266
"49",270
"50",276
"51",278
"52",284
"53",294
"54",306
"55",320
"56",334
"57",346
"58",354
"59",362
"60",376
"61",394
"62",412
"63",432
"64",452
"65",470
"66",482
"67",492
"68",508
"69",526
"70",540
"71",554
"72",568
"73",578
"74",594
"75",610
"76",622
"77",642
"78",658
"79",666
"80",668
"81",668
"82",670
"83",674
"84",684
"85",702
"86",726
"87",746
"88",760
"89",766
"90",770
"91",780
"92",794
"93",814
"94",838
"95",862
"96",880
"97",892
"98",898
"99",906
"100",922
"101",942
"102",964
"103",986
"104",1004
"105",1018
"106",1028
"107",1034
"108",1046
"109",1068
"110",1090
"111",1110
"112",1126
"113",1138
"114",1148
"115",1156
"116",1172
"117",1196
"118",1216
"119",1230
"120",1240
"121",1248
"122",1256
"123",1272
"124",1294
"125",1310
"126",1320
"127",1328
"128",1336
"129",1352
"130",1372
"131",1386
"132",1394
"133",1402
"134",1410
"135",1428
"136",1450
"137",1466
"138",1476
"139",1482
"140",1500
"141",1522
"142",1538
"143",1548
"144",1554
"145",1570
"146",1592
"147",1608
"148",1618
"149",1630
"150",1646
"151",1658
"152",1664
"153",1672
"154",1684
"155",1694
"156",1698
"157",1706
"158",1714
"159",1722
"160",1730
"161",1738
"162",1746
"163",1752
"164",1766
"165",1786
"166",1806
"167",1826
"168",1846
"169",1866
"170",1884
"171",1896
"172",1906
"173",1926
"174",1952
"175",1978
"176",2004
"177",2030
"178",2054
"179",2076
"180",2090
"181",2100
"182",2120
"183",2146
"184",2170
"185",2192
"186",2212
"187",2230
"188",2246
"189",2248
"190",2260
"191",2280
"192",2306
